"Country,Other"        ,TotalCases    ,NewCases   ,TotalDeaths ,NewDeaths ,TotalRecovered ,NewRecovered ,ActiveCases  ,"Serious,Critical" ,Tot Cases/1M pop ,Deaths/1M pop ,TotalTests    ,Tests/1M pop ,Population
Romania                ,"1,082,057"   ,+104       ,"34,266 "   ,+2        ,"1,047,117"    ,+117         ,674          ,38                 ,"56,646"         ,"1,794"       ,"10,336,704"  ,"541,133"    ,"19,101,972 "
Pakistan               ,"1,000,034"   ,"+1,425"   ,"22,939 "   ,+11       ,"923,472"      ,+543         ,"53,623"     ,"2,525"            ,"4,437"          ,102           ,"15,584,899"  ,"69,142"     ,"225,404,255 "
Malaysia               ,"980,491"     ,"+15,573"  ,"7,718 "    ,+144      ,"825,387"      ,"+10,094"    ,"147,386"    ,939                ,"29,890"         ,235           ,"16,984,302"  ,"517,768"    ,"32,802,919 "
Portugal               ,"943,244"     ,           ,"17,248 "   ,          ,"873,008"      ,             ,"52,988"     ,178                ,"92,791"         ,"1,697"       ,"14,684,117"  ,"1,444,536"  ,"10,165,286 "
Israel                 ,"856,986"     ,           ,"6,457 "    ,          ,"840,712"      ,             ,"9,817"      ,75                 ,"91,892"         ,692           ,"16,058,930"  ,"1,721,953"  ,"9,326,000 "
Japan                  ,"852,517"     ,           ,"15,097 "   ,          ,"806,202"      ,             ,"31,218"     ,392                ,"6,762"          ,120           ,"17,760,540"  ,"140,881"    ,"126,067,237 "
Hungary                ,"809,101"     ,+85        ,"30,020 "   ,          ,"745,277"      ,+563         ,"33,804"     ,9                  ,"83,980"         ,"3,116"       ,"6,284,811"   ,"652,328"    ,"9,634,427 "
Jordan                 ,"763,106"     ,           ,"9,929 "    ,          ,"745,551"      ,             ,"7,626"      ,496                ,"74,017"         ,963           ,"8,292,733"   ,"804,345"    ,"10,309,925 "
Serbia                 ,"719,462"     ,           ,"7,095 "    ,          ,"709,704"      ,             ,"2,663"      ,11                 ,"82,695"         ,816           ,"4,591,257"   ,"527,721"    ,"8,700,167 "
Switzerland            ,"712,668"     ,+791       ,"10,903 "   ,          ,"691,377"      ,+153         ,"10,388"     ,27                 ,"81,715"         ,"1,250"       ,"8,904,283"   ,"1,020,971"  ,"8,721,388 "
Nepal                  ,"676,708"     ,"+1,982"   ,"9,679 "    ,+18       ,"639,368"      ,"+1,678"     ,"27,661"     ,                   ,"22,794"         ,326           ,"3,517,889"   ,"118,494"    ,"29,688,277 "
